-10,-2.5,-10,-2.5,-10,-2.5
-10,-2,-10,-2,-10,-2
-10,-1.5,-10,-1.5,-10,-1.5
-10,-1,-10,-1,-10,-1
-10,-0.5,-10,-0.5,-10,-0.5
-10,4.4872e-07,-10,2.5471e-07,-10,-4.9541e-08
-10,0.5,-10,0.5,-10,0.5
-10,1,-10,1,-10,1
-10,1.5,-10,1.5,-10,1.5
-10,2,-10,2,-10,2
-10,2.5,-10,2.5,-10,2.5
-10,3,-10,3,-10,3
-10,3.5,-10,3.5,-10,3.5
-10,4,-10,4,-10,4
-10,4.5,-10,4.5,-10,4.5
-10,5,-10,5,-10,5
-10,5.5,-10,5.5,-10,5.5
-10,6,-10,6,-10,6
-10,6.5,-10,6.5,-10,6.5
-10,7,-10,7,-10,7
-10,7.5,-10,7.5,-10,7.5
-10,8,-10,8,-10,8
-10,8.5,-10,8.5,-10,8.5
-10,9,-10,9,-10,9
-10,9.5,-10,9.5,-10,9.5
-10,10,-10,10,-10,10
-10,10,-10,10,-10,10
-9.5,10,-9.5,10,-9.5,10
-9,10,-9,10,-9,10
-8.5,10,-8.5,10,-8.5,10
-8,10,-8,10,-8,10
-7.5,10,-7.5,10,-7.5,10
-7,10,-7,10,-7,10
-6.5,10,-6.5,10,-6.5,10
-6,10,-6,10,-6,10
-5.5,10,-5.5,10,-5.5,10
-5,10,-5,10,-5,10
-4.5,10,-4.5,10,-4.5,10
-4,10,-4,10,-4,10
-3.5,10,-3.5,10,-3.5,10
-3,10,-3,10,-3,10
-2.5,10,-2.5,10,-2.5,10
-2,10,-2,10,-2,10
-1.5,10,-1.5,10,-1.5,10
-1,10,-1,10,-1,10
-0.5,10,-0.5,10,-0.5,10
-9.9242e-07,10,-3.232e-07,10,-3.1083e-08,10
0.5,10,0.5,10,0.5,10
1,10,1,10,1,10
1.5,10,1.5,10,1.5,10
2,10,2,10,2,10
2.5,10,2.5,10,2.5,10
3,10,3,10,3,10
3.5,10,3.5,10,3.5,10
4,10,4,10,4,10
4.5,10,4.5,10,4.5,10
5,10,5,10,5,10
5.5,10,5.5,10,5.5,10
6,10,6,10,6,10
6.5,10,6.5,10,6.5,10
7,10,7,10,7,10
7.5,10,7.5,10,7.5,10
8,10,8,10,8,10
8.5,10,8.5,10,8.5,10
9,10,9,10,9,10
9.5,10,9.5,10,9.5,10
10,10,10,10,10,10
